filler,repetition,phrases,avg_sentence_len
1.0,0.0,1.0,50.0
0.0,0.0,1.0,14.0
0.0,0.0,0.0,8.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,25.5
0.0,0.0,0.0,11.0
0.0,0.0,0.0,29.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,16.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,28.0
0.0,0.0,1.0,24.0
0.0,0.0,1.0,20.333333333333332
0.0,0.0,0.0,6.0
0.0,0.0,1.0,17.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,39.0
0.0,0.0,0.0,20.333333333333332
0.0,0.0,0.0,32.0
0.0,0.0,0.0,18.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,42.0
0.0,0.0,1.0,29.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,26.5
0.0,0.0,0.0,14.0
0.0,0.0,0.0,30.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,14.0
0.0,0.0,1.0,13.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,18.0
0.0,0.0,1.0,29.0
0.0,0.0,0.0,25.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,18.5
0.0,0.0,1.0,22.333333333333332
0.0,0.0,0.0,21.0
0.0,0.0,0.0,14.4
0.0,0.0,0.0,18.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,9.5
0.0,0.0,0.0,23.0
0.0,0.0,0.0,35.0
0.0,0.0,0.0,15.5
0.0,0.0,0.0,8.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,4.2
0.0,0.0,0.0,8.5
0.0,0.0,0.0,12.0
0.0,0.0,1.0,12.75
0.0,0.0,0.0,33.0
0.0,0.0,0.0,29.0
0.0,0.0,0.0,20.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,26.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,16.333333333333332
0.0,0.0,0.0,12.5
0.0,0.0,0.0,17.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,8.0
0.0,0.0,1.0,15.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,26.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,7.0
0.0,0.0,3.0,19.5
0.0,0.0,0.0,42.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,9.5
1.0,0.0,0.0,16.0
0.0,0.0,1.0,22.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,35.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,57.0
0.0,0.0,0.0,27.0
0.0,0.0,1.0,28.5
0.0,0.0,0.0,26.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,8.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,39.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,22.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,33.0
0.0,0.0,0.0,12.5
0.0,0.0,0.0,5.5
0.0,0.0,0.0,41.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,24.0
0.0,0.0,0.0,22.5
0.0,0.0,0.0,15.0
0.0,0.0,1.0,16.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,10.0
0.0,0.0,1.0,22.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,36.0
0.0,0.0,0.0,21.0
0.0,0.0,0.0,18.5
0.0,0.0,0.0,16.0
0.0,0.0,0.0,18.333333333333332
0.0,0.0,1.0,18.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,8.0
0.0,0.0,0.0,27.0
0.0,0.0,0.0,18.666666666666668
0.0,0.0,0.0,25.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,22.0
0.0,0.0,0.0,22.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,26.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,13.5
0.0,0.0,0.0,10.0
0.0,0.0,0.0,19.666666666666668
0.0,0.0,0.0,6.5
0.0,0.0,0.0,21.5
0.0,0.0,0.0,8.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,29.0
0.0,0.0,0.0,68.0
0.0,0.0,1.0,26.5
0.0,0.0,0.0,23.0
0.0,0.0,0.0,22.0
0.0,0.0,0.0,17.0
0.0,0.0,1.0,7.0
0.0,0.0,0.0,8.5
0.0,0.0,0.0,5.0
0.0,0.0,1.0,15.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,8.571428571428571
0.0,0.0,0.0,26.5
0.0,0.0,0.0,13.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,6.0
0.0,0.0,1.0,16.5
0.0,0.0,0.0,9.8
0.0,0.0,0.0,7.0
0.0,0.0,0.0,20.0
0.0,0.0,0.0,25.5
0.0,0.0,0.0,25.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,25.5
0.0,0.0,0.0,24.0
0.0,0.0,1.0,14.75
0.0,0.0,0.0,8.0
1.0,0.0,0.0,16.0
0.0,0.0,0.0,21.0
1.0,0.0,0.0,13.0
0.0,0.0,0.0,20.0
0.0,0.0,0.0,9.285714285714286
0.0,0.0,0.0,38.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,42.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,9.5
0.0,0.0,0.0,14.0
0.0,0.0,0.0,27.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,30.0
0.0,0.0,1.0,23.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,58.0
0.0,0.0,1.0,18.0
0.0,0.0,0.0,35.0
0.0,0.0,0.0,32.5
0.0,0.0,2.0,18.25
0.0,0.0,0.0,26.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,31.0
0.0,0.0,0.0,48.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,17.0
0.0,0.0,0.0,37.0
0.0,0.0,0.0,27.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,14.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,48.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,30.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,25.0
0.0,0.0,0.0,20.333333333333332
0.0,0.0,0.0,12.333333333333334
0.0,0.0,0.0,12.0
0.0,0.0,0.0,10.666666666666666
0.0,0.0,0.0,31.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,23.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,32.0
0.0,0.0,0.0,34.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,10.8
0.0,0.0,0.0,14.5
0.0,0.0,0.0,21.0
0.0,0.0,0.0,2.5
0.0,0.0,0.0,10.75
0.0,0.0,0.0,13.0
0.0,0.0,0.0,24.0
0.0,0.0,0.0,35.0
0.0,0.0,0.0,26.0
0.0,0.0,0.0,12.333333333333334
0.0,0.0,0.0,31.0
0.0,0.0,0.0,20.333333333333332
0.0,0.0,1.0,12.666666666666666
0.0,0.0,5.0,18.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,8.0
0.0,0.0,1.0,42.0
0.0,0.0,1.0,13.666666666666666
0.0,0.0,0.0,10.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,18.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,16.0
0.0,0.0,0.0,8.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,7.5
0.0,0.0,0.0,16.0
0.0,0.0,0.0,7.0
0.0,0.0,0.0,10.0
0.0,0.0,0.0,17.0
0.0,0.0,0.0,15.5
0.0,0.0,0.0,23.0
0.0,0.0,1.0,11.2
0.0,0.0,1.0,11.0
0.0,0.0,1.0,11.0
0.0,0.0,0.0,11.0
0.0,0.0,3.0,7.25
0.0,0.0,0.0,11.8
0.0,0.0,1.0,19.333333333333332
0.0,0.0,0.0,17.0
0.0,0.0,0.0,10.8
0.0,0.0,1.0,41.0
0.0,0.0,0.0,11.0
0.0,0.0,0.0,12.0
0.0,0.0,0.0,9.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,15.0
0.0,0.0,0.0,9.4
1.0,0.0,0.0,2.0
0.0,0.0,0.0,19.0
0.0,0.0,0.0,6.0
0.0,0.0,0.0,20.5
0.0,0.0,0.0,27.0
0.0,0.0,0.0,25.0
0.0,0.0,0.0,3.0
0.0,0.0,1.0,34.0
0.0,0.0,0.0,13.0
0.0,0.0,0.0,12.5
0.0,0.0,0.0,9.5
0.0,0.0,1.0,13.4
0.0,0.0,0.0,28.0
0.0,0.0,1.0,19.333333333333332
0.0,0.0,0.0,21.666666666666668
0.0,0.0,0.0,20.333333333333332
0.0,0.0,0.0,36.0
0.0,0.0,0.0,14.0
